Item ID,Product Name,Full Name,Brand,Category,Price (SGD),Original Price (SGD),Discount,Sold,Rating,URL
472364170,EF EFCH 6202 HM SS 60CM Semi Integrated Hood,EF EFCH 6202 HM SS 60CM Semi Integrated Hood/EF/Slimline/Wall Mounted/Kitchen Appliance/High Suction Capacity,EF,Range Hoods,349.0,,,,,https://www.lazada.sg/products/pdp-i472364170.html
471940521,EF EFCH 6101 HM SS 60CM Slimline Hood,EF EFCH 6101 HM SS 60CM Slimline Hood/EF/Slimline/Wall Mounted/Kitchen Appliance/High Suction Capacity,EF,Range Hoods,299.0,,,,,https://www.lazada.sg/products/pdp-i471940521.html
472168462,EF EFCH 9101 HM SS 90CM Slimline Hood,EF EFCH 9101 HM SS 90CM Slimline Hood/EF/Slimline/Wall Mounted/Kitchen Appliance/High Suction Capacity,EF,Range Hoods,299.0,,,,,https://www.lazada.sg/products/pdp-i472168462.html
464958467,KA 268 60 CM Stainless Steel Slim Line Hood,KA 268 60 CM Stainless Steel Slim Line Hood/Slim Line/Wall Mounted/Kitchen Appliance/High Suction Capacity,Other,Range Hoods,299.0,,,1,1,https://www.lazada.sg/products/pdp-i464958467.html
464946366,KA 298 90 CM Stainless Steel Slim Line Hood,KA 298 90 CM Stainless Steel Slim Line Hood/Slim Line/Wall Mounted/Kitchen Appliance/High Suction Capacity,Other,Range Hoods,299.0,,,,,https://www.lazada.sg/products/pdp-i464946366.html
468534584,TECNO KA 9228 Designer Chimney Hood with Decorative LED Lights,TECNO KA 9228 Designer Chimney Hood with Decorative LED Lights/Chimney/Wall Mounted/Kitchen Appliance/High Suction Capacity,Tecno,Range Hoods,1188.0,,,,,https://www.lazada.sg/products/pdp-i468534584.html
468108786,TECNO KA 2238 Matte Black Designer Chimney Hood,TECNO KA 2238 Matte Black Designer Chimney Hood/Chimney/Wall Mounted/Kitchen Appliance/High Suction Capacity,Tecno,Range Hoods,1088.0,,,,,https://www.lazada.sg/products/pdp-i468108786.html
468524396,TECNO KA 9008 Round Profile Designer Chimney Hood,TECNO KA 9008 Round Profile Designer Chimney Hood/Chimney/Wall Mounted/Kitchen Appliance/High Suction Capacity,Tecno,Range Hoods,1088.0,,,,,https://www.lazada.sg/products/pdp-i468524396.html
468562615,TECNO KA 9688 Tempered Glass Designer Chimney,TECNO KA 9688 Tempered Glass Designer Chimney/Chimney/Wall Mounted/Kitchen Appliance/High Suction Capacity,Tecno,Range Hoods,1088.0,,,,,https://www.lazada.sg/products/pdp-i468562615.html
468220494,TECNO KA 9808 Tempered Glass Designer Chimney Hood,TECNO KA 9808 Tempered Glass Designer Chimney Hood/Chimney/Wall Mounted/Kitchen Appliance/High Suction Capacity,Tecno,Range Hoods,988.0,,,,,https://www.lazada.sg/products/pdp-i468220494.html
464690728,TECNO TCH 939DTC SS Slim Line Hood with DYNA-X Motor (Stainless Steel),TECNO TCH 939DTC SS Slim Line Hood with DYNA-X Motor (Stainless Steel)/Slim Line/Wall Mounted/Kitchen Appliance/High Suction Capacity,Tecno,Range Hoods,588.0,,,,,https://www.lazada.sg/products/pdp-i464690728.html
464692005,TECNO TCH 939DTC BK Slim Line Hood with DYNA-X Motor (Full Black),TECNO TCH 939DTC BK Slim Line Hood with DYNA-X Motor (Full Black)/Slim Line/Wall Mounted/Kitchen Appliance/High Suction Capacity,Tecno,Range Hoods,588.0,,,,,https://www.lazada.sg/products/pdp-i464692005.html
460734890,TECNO TH989-TC3 90CM 3 MOTOR Slim Line Hood With LED Touch Controls,TECNO TH989-TC3 90CM 3 MOTOR Slim Line Hood With LED Touch Controls/Slim Line/Wall Mounted/Kitchen Appliance/High Suction Capacity,Tecno,Range Hoods,548.0,588.0,7%,,,https://www.lazada.sg/products/pdp-i460734890.html
464670740,TECNO TCH 929DP SS Slim Line Hood with DYNA-X Motor (Stainless Steel),TECNO TCH 929DP SS Slim Line Hood with DYNA-X Motor (Stainless Steel)/Slim Line/Wall Mounted/Kitchen Appliance/High Suction Capacity,Tecno,Range Hoods,538.0,,,,,https://www.lazada.sg/products/pdp-i464670740.html
464622040,TECNO TCH 929DP BK Slim Line Hood with DYNA-X Motor (Full Black),TECNO TCH 929DP BK Slim Line Hood with DYNA-X Motor (Full Black)/Slim Line/Wall Mounted/Kitchen Appliance/High Suction Capacity,Tecno,Range Hoods,538.0,,,,,https://www.lazada.sg/products/pdp-i464622040.html
461670448,TECNO TH979-3M 90CM 3 MOTOR Slim Line Hood With Black Front Panel,TECNO TH979-3M 90CM 3 MOTOR Slim Line Hood With Black Front Panel/Slim Line/Wall Mounted/Kitchen Appliance/High Suction Capacity,Tecno,Range Hoods,538.0,,,,,https://www.lazada.sg/products/pdp-i461670448.html
465032559,TECNO TH 999D Cyclonic High Power Slim Hood with Air Curtain,TECNO TH 999D Cyclonic High Power Slim Hood with Air Curtain/Slim Line/Wall Mounted/Kitchen Appliance/High Suction Capacity,Tecno,Range Hoods,499.0,,,4,4,https://www.lazada.sg/products/pdp-i465032559.html
460724380,TECNO TCH908BK,TECNO TCH908BK/SS 90CM Slim Line Hood With Maxi Flow Motor/Slim Line/Wall Mounted/Kitchen Appliance/High Suction Capacity,Tecno,Range Hoods,488.0,538.0,9%,,,https://www.lazada.sg/products/pdp-i460724380.html
461250990,TECNO TH969TCL 90CM Slim Line Hood With LED Touch Controls,TECNO TH969TCL 90CM Slim Line Hood With LED Touch Controls/Slim Line/Wall Mounted/Kitchen Appliance/High Suction Capacity,Tecno,Range Hoods,458.0,,,,,https://www.lazada.sg/products/pdp-i461250990.html
460314272,TECNO TCH901 90CM Slim Line Hood With Maxi Flow Motor,TECNO TCH901 90CM Slim Line Hood With Maxi Flow Motor/Slim Line/Wall Mounted/Kitchen Appliance/High Suction Capacity,Tecno,Range Hoods,428.0,478.0,10%,,,https://www.lazada.sg/products/pdp-i460314272.html
460258047,Tecno TCH900SS 90cm Slim Cooker Hood,Tecno TCH900SS 90cm Slim Cooker Hood/Slim Line/Wall Mounted/Kitchen Appliance/High Suction Capacity,Tecno,Range Hoods,428.0,458.0,7%,,,https://www.lazada.sg/products/pdp-i460258047.html
1050286152,Tecno TCH9019TCL-BK 90cm Ultra Slim Hood with LED Sensor Touch Controls,Tecno TCH9019TCL-BK 90cm Ultra Slim Hood with LED Sensor Touch Controls/Slim Line/Wall Mounted/Kitchen Appliance/High Suction Capacity,Tecno,Range Hoods,388.0,458.0,15%,,,https://www.lazada.sg/products/pdp-i1050286152.html
461416859,TECNO TH978TL 90CM Stainless Steel Slim Line Hood,TECNO TH978TL 90CM Stainless Steel Slim Line Hood/Slim Line/Wall Mounted/Kitchen Appliance/High Suction Capacity,Tecno,Range Hoods,338.0,,,1,1,https://www.lazada.sg/products/pdp-i461416859.html
461472153,TECNO TH678TL 60CM Stainless Steel Slim Line Hood,TECNO TH678TL 60CM Stainless Steel Slim Line Hood/Slim Line/Wall Mounted/Kitchen Appliance/High Suction Capacity,Tecno,Range Hoods,329.0,,,,,https://www.lazada.sg/products/pdp-i461472153.html
120822690,H051 Clothes Hanger,H051 Clothes Hanger/Stainless Steel/Clothes Hanger/Clothes rack,Other,Storage & Organization,79.9,109.9,27%,9,9,https://www.lazada.sg/products/pdp-i120822690.html
2988512453,ALPHA - RS Instant Water Heater (Non Pump),ALPHA - RS Instant Water Heater (Non Pump),Alpha,Water Heaters,138.0,199.0,31%,,,https://www.lazada.sg/products/pdp-i2988512453.html
